employee;stirrer;brand;catalyst;water;temperature;time
A;wooden;ASS;False;carbonated;21.4;15.6
B;metal;Godamed;False;carbonated;20.9;30.9
C;wooden;Godamed;True;carbonated;21.4;27.3
A;wooden;Godamed;True;tap;21.8;21.8
A;wooden;ASS;False;tap;22.6;12.2
C;wooden;Godamed;True;tap;23.3;19.5
C;metal;Godamed;True;tap;23.1;17.1
C;metal;ASS;True;carbonated;22.0;19.3
B;wooden;Godamed;False;carbonated;21.6;28.1
B;metal;ASS;False;tap;20.6;15.0
B;wooden;Godamed;True;tap;22.2;17.5
C;metal;ASS;False;carbonated;23.0;16.5
A;metal;Godamed;False;carbonated;23.8;22.1
A;metal;Godamed;True;tap;22.0;19.4
A;wooden;Godamed;False;carbonated;21.3;27.2
B;metal;Godamed;False;tap;21.0;22.5
A;wooden;ASS;True;carbonated;22.5;13.7
B;metal;Godamed;True;tap;22.9;16.2
C;wooden;Godamed;False;tap;22.5;15.3
C;metal;Godamed;False;carbonated;22.3;21.0
B;metal;Godamed;True;carbonated;21.1;31.1
B;wooden;Godamed;True;carbonated;21.7;29.6
A;wooden;ASS;True;tap;20.3;11.8
C;metal;Godamed;False;tap;22.1;16.2
C;wooden;ASS;True;tap;21.7;14.0
A;metal;ASS;False;tap;21.8;13.0
A;metal;Godamed;False;tap;22.0;17.7
A;wooden;Godamed;False;tap;21.7;16.6
B;wooden;ASS;False;carbonated;22.2;21.5
A;metal;ASS;True;carbonated;22.0;15.3
B;metal;ASS;False;carbonated;20.6;20.0
C;wooden;Godamed;False;carbonated;23.3;31.4
B;wooden;ASS;True;carbonated;21.7;15.3
B;metal;ASS;True;carbonated;23.1;18.2
C;metal;Godamed;True;carbonated;22.3;31.5
C;wooden;ASS;False;carbonated;22.7;16.1
A;metal;ASS;True;tap;23.7;12.6
B;wooden;Godamed;False;tap;23.2;20.8
C;metal;ASS;True;tap;21.1;12.0
A;metal;Godamed;True;carbonated;23.3;24.2
B;metal;ASS;True;tap;20.8;12.7
C;wooden;ASS;False;tap;23.3;13.9
A;metal;ASS;False;carbonated;21.3;16.4
C;wooden;ASS;True;carbonated;22.5;17.9
C;metal;ASS;False;tap;23.0;14.4
B;wooden;ASS;True;tap;20.8;13.2
A;wooden;Godamed;True;carbonated;21.0;30.4
B;wooden;ASS;False;tap;23.0;15.4
