order_gage,result_gage,resolution,reference,U_cal,nominal,tolerance,order_rnr,operator,part,result_rnr,block
1,1.0007,0.0001,1,0.0002,1.0005,0.13,1,Foo,63,1.060,1
2,1.0007,,,,,,2,Foo,42,1.135,1
3,1.0016,,,,,,3,Foo,90,1.040,1
4,1.0008,,,,,,4,Foo,81,1.056,1
5,1.0007,,,,,,5,Foo,47,1.053,1
6,1.0008,,,,,,6,Foo,72,1.052,1
7,1.0008,,,,,,7,Foo,78,1.048,1
8,1.0008,,,,,,8,Foo,89,1.049,1
9,1.0008,,,,,,9,Foo,77,1.045,1
10,1.0008,,,,,,10,Foo,51,1.080,1
11,1.0009,,,,,,11,Bar,77,1.039,2
12,1.0007,,,,,,12,Bar,51,1.075,2
13,1.0008,,,,,,13,Bar,63,1.068,2
14,1.0008,,,,,,14,Bar,78,1.035,2
15,1.0008,,,,,,15,Bar,81,1.059,2
16,1.0009,,,,,,16,Bar,42,1.137,2
17,1.0008,,,,,,17,Bar,90,1.075,2
18,1.0007,,,,,,18,Bar,72,1.053,2
19,1.0008,,,,,,19,Bar,47,1.056,2
20,1.0008,,,,,,20,Bar,89,1.041,2
21,1.0008,,,,,,21,Foo,51,1.080,3
22,1.0008,,,,,,22,Foo,90,1.057,3
23,1.0008,,,,,,23,Foo,81,1.053,3
24,1.0008,,,,,,24,Foo,42,1.140,3
25,1.0008,,,,,,25,Foo,72,1.053,3
26,1.0008,,,,,,26,Foo,63,1.066,3
27,1.0007,,,,,,27,Foo,47,1.045,3
28,1.0008,,,,,,28,Foo,89,1.052,3
29,1.001,,,,,,29,Foo,78,1.044,3
30,1.0009,,,,,,30,Foo,77,1.048,3
31,1.0008,,,,,,31,Bar,78,1.048,4
32,1.001,,,,,,32,Bar,72,1.065,4
33,1.0008,,,,,,33,Bar,81,1.047,4
34,1.0008,,,,,,34,Bar,77,1.045,4
35,1.0007,,,,,,35,Bar,47,1.056,4
36,1.0008,,,,,,36,Bar,51,1.068,4
37,1.0008,,,,,,37,Bar,90,1.054,4
38,1.0008,,,,,,38,Bar,89,1.043,4
39,1.0008,,,,,,39,Bar,63,1.070,4
40,1.0008,,,,,,40,Bar,42,1.141,4
41,1.0008,,,,,,41,Foo,78,1.035,5
42,1.0008,,,,,,42,Foo,42,1.137,5
43,1.0008,,,,,,43,Foo,90,1.060,5
44,1.0008,,,,,,44,Foo,63,1.069,5
45,1.0008,,,,,,45,Foo,47,1.054,5
46,1.0007,,,,,,46,Foo,72,1.056,5
47,1.0008,,,,,,47,Foo,77,1.046,5
48,1.0008,,,,,,48,Foo,89,1.041,5
49,1.0008,,,,,,49,Foo,51,1.075,5
50,1.0007,,,,,,50,Foo,81,1.051,5
51,1.0007,,,,,,51,Bar,63,1.066,6
52,1.001,,,,,,52,Bar,77,1.043,6
53,1.0007,,,,,,53,Bar,51,1.077,6
54,1.0007,,,,,,54,Bar,81,1.055,6
,,,,,,,55,Bar,47,1.051,6
,,,,,,,56,Bar,89,1.054,6
,,,,,,,57,Bar,90,1.056,6
,,,,,,,58,Bar,78,1.036,6
,,,,,,,59,Bar,42,1.146,6
,,,,,,,60,Bar,72,1.060,6
