species,leaf,width,length
setosa,sepal,3.5,5.1
setosa,sepal,3.0,4.9
setosa,sepal,3.2,4.7
setosa,sepal,3.1,4.6
setosa,sepal,3.6,5.0
setosa,sepal,3.9,5.4
setosa,sepal,3.4,4.6
setosa,sepal,3.4,5.0
setosa,sepal,2.9,4.4
setosa,sepal,3.1,4.9
setosa,sepal,3.7,5.4
setosa,sepal,3.4,4.8
setosa,sepal,3.0,4.8
setosa,sepal,3.0,4.3
setosa,sepal,4.0,5.8
setosa,sepal,4.4,5.7
setosa,sepal,3.9,5.4
setosa,sepal,3.5,5.1
setosa,sepal,3.8,5.7
setosa,sepal,3.8,5.1
setosa,sepal,3.4,5.4
setosa,sepal,3.7,5.1
setosa,sepal,3.6,4.6
setosa,sepal,3.3,5.1
setosa,sepal,3.4,4.8
setosa,sepal,3.0,5.0
setosa,sepal,3.4,5.0
setosa,sepal,3.5,5.2
setosa,sepal,3.4,5.2
setosa,sepal,3.2,4.7
setosa,sepal,3.1,4.8
setosa,sepal,3.4,5.4
setosa,sepal,4.1,5.2
setosa,sepal,4.2,5.5
setosa,sepal,3.1,4.9
setosa,sepal,3.2,5.0
setosa,sepal,3.5,5.5
setosa,sepal,3.1,4.9
setosa,sepal,3.0,4.4
setosa,sepal,3.4,5.1
setosa,sepal,3.5,5.0
setosa,sepal,2.3,4.5
setosa,sepal,3.2,4.4
setosa,sepal,3.5,5.0
setosa,sepal,3.8,5.1
setosa,sepal,3.0,4.8
setosa,sepal,3.8,5.1
setosa,sepal,3.2,4.6
setosa,sepal,3.7,5.3
setosa,sepal,3.3,5.0
versicolor,sepal,3.2,7.0
versicolor,sepal,3.2,6.4
versicolor,sepal,3.1,6.9
versicolor,sepal,2.3,5.5
versicolor,sepal,2.8,6.5
versicolor,sepal,2.8,5.7
versicolor,sepal,3.3,6.3
versicolor,sepal,2.4,4.9
versicolor,sepal,2.9,6.6
versicolor,sepal,2.7,5.2
versicolor,sepal,2.0,5.0
versicolor,sepal,3.0,5.9
versicolor,sepal,2.2,6.0
versicolor,sepal,2.9,6.1
versicolor,sepal,2.9,5.6
versicolor,sepal,3.1,6.7
versicolor,sepal,3.0,5.6
versicolor,sepal,2.7,5.8
versicolor,sepal,2.2,6.2
versicolor,sepal,2.5,5.6
versicolor,sepal,3.2,5.9
versicolor,sepal,2.8,6.1
versicolor,sepal,2.5,6.3
versicolor,sepal,2.8,6.1
versicolor,sepal,2.9,6.4
versicolor,sepal,3.0,6.6
versicolor,sepal,2.8,6.8
versicolor,sepal,3.0,6.7
versicolor,sepal,2.9,6.0
versicolor,sepal,2.6,5.7
versicolor,sepal,2.4,5.5
versicolor,sepal,2.4,5.5
versicolor,sepal,2.7,5.8
versicolor,sepal,2.7,6.0
versicolor,sepal,3.0,5.4
versicolor,sepal,3.4,6.0
versicolor,sepal,3.1,6.7
versicolor,sepal,2.3,6.3
versicolor,sepal,3.0,5.6
versicolor,sepal,2.5,5.5
versicolor,sepal,2.6,5.5
versicolor,sepal,3.0,6.1
versicolor,sepal,2.6,5.8
versicolor,sepal,2.3,5.0
versicolor,sepal,2.7,5.6
versicolor,sepal,3.0,5.7
versicolor,sepal,2.9,5.7
versicolor,sepal,2.9,6.2
versicolor,sepal,2.5,5.1
versicolor,sepal,2.8,5.7
virginica,sepal,3.3,6.3
virginica,sepal,2.7,5.8
virginica,sepal,3.0,7.1
virginica,sepal,2.9,6.3
virginica,sepal,3.0,6.5
virginica,sepal,3.0,7.6
virginica,sepal,2.5,4.9
virginica,sepal,2.9,7.3
virginica,sepal,2.5,6.7
virginica,sepal,3.6,7.2
virginica,sepal,3.2,6.5
virginica,sepal,2.7,6.4
virginica,sepal,3.0,6.8
virginica,sepal,2.5,5.7
virginica,sepal,2.8,5.8
virginica,sepal,3.2,6.4
virginica,sepal,3.0,6.5
virginica,sepal,3.8,7.7
virginica,sepal,2.6,7.7
virginica,sepal,2.2,6.0
virginica,sepal,3.2,6.9
virginica,sepal,2.8,5.6
virginica,sepal,2.8,7.7
virginica,sepal,2.7,6.3
virginica,sepal,3.3,6.7
virginica,sepal,3.2,7.2
virginica,sepal,2.8,6.2
virginica,sepal,3.0,6.1
virginica,sepal,2.8,6.4
virginica,sepal,3.0,7.2
virginica,sepal,2.8,7.4
