employee,stirrer,brand,catalyst,water,temperature,preparation,dissolution,time
A,wooden,ZapPain,False,carbonated,21.40,17.18,15.60,32.78
B,metal,OuchAway,False,carbonated,20.90,16.26,30.90,47.16
C,wooden,OuchAway,True,carbonated,21.40,13.49,27.30,40.79
A,wooden,OuchAway,True,tap,21.80,15.78,21.80,37.58
A,wooden,ZapPain,False,tap,22.60,14.36,12.20,26.56
C,wooden,OuchAway,True,tap,23.30,15.41,19.50,34.91
C,metal,OuchAway,True,tap,23.10,14.82,17.10,31.92
C,metal,ZapPain,True,carbonated,22.00,21.07,19.30,40.37
B,wooden,OuchAway,False,carbonated,21.60,18.05,28.10,46.15
B,metal,ZapPain,False,tap,20.60,15.05,15.00,30.05
B,wooden,OuchAway,True,tap,22.20,13.52,17.50,31.02
C,metal,ZapPain,False,carbonated,23.00,17.84,16.50,34.34
A,metal,OuchAway,False,carbonated,23.80,16.31,22.10,38.41
A,metal,OuchAway,True,tap,22.00,11.18,19.40,30.58
A,wooden,OuchAway,False,carbonated,21.30,16.76,27.20,43.96
B,metal,OuchAway,False,tap,21.00,11.92,22.50,34.42
A,wooden,ZapPain,True,carbonated,22.50,18.01,13.70,31.71
B,metal,OuchAway,True,tap,22.90,14.46,16.20,30.66
C,wooden,OuchAway,False,tap,22.50,17.57,15.30,32.87
C,metal,OuchAway,False,carbonated,22.30,13.08,21.00,34.08
B,metal,OuchAway,True,carbonated,21.10,16.20,31.10,47.30
B,wooden,OuchAway,True,carbonated,21.70,13.99,29.60,43.59
A,wooden,ZapPain,True,tap,20.30,15.43,11.80,27.23
C,metal,OuchAway,False,tap,22.10,10.84,16.20,27.04
C,wooden,ZapPain,True,tap,21.70,19.70,14.00,33.70
A,metal,ZapPain,False,tap,21.80,14.59,13.00,27.59
A,metal,OuchAway,False,tap,22.00,16.11,17.70,33.81
A,wooden,OuchAway,False,tap,21.70,14.78,16.60,31.38
B,wooden,ZapPain,False,carbonated,22.20,13.06,21.50,34.56
A,metal,ZapPain,True,carbonated,22.00,15.00,15.30,30.30
B,metal,ZapPain,False,carbonated,20.60,13.77,20.00,33.77
C,wooden,OuchAway,False,carbonated,23.30,16.83,31.40,48.23
B,wooden,ZapPain,True,carbonated,21.70,19.15,15.30,34.45
B,metal,ZapPain,True,carbonated,23.10,16.23,18.20,34.43
C,metal,OuchAway,True,carbonated,22.30,16.09,31.50,47.59
C,wooden,ZapPain,False,carbonated,22.70,13.36,16.10,29.46
A,metal,ZapPain,True,tap,23.70,12.75,12.60,25.35
B,wooden,OuchAway,False,tap,23.20,18.20,20.80,39.00
C,metal,ZapPain,True,tap,21.10,17.74,12.00,29.74
A,metal,OuchAway,True,carbonated,23.30,17.24,24.20,41.44
B,metal,ZapPain,True,tap,20.80,12.78,12.70,25.48
C,wooden,ZapPain,False,tap,23.30,15.18,13.90,29.08
A,metal,ZapPain,False,carbonated,21.30,17.62,16.40,34.02
C,wooden,ZapPain,True,carbonated,22.50,12.26,17.90,30.16
C,metal,ZapPain,False,tap,23.00,13.90,14.40,28.30
B,wooden,ZapPain,True,tap,20.80,14.88,13.20,28.08
A,wooden,OuchAway,True,carbonated,21.00,11.95,30.40,42.35
B,wooden,ZapPain,False,tap,23.00,16.25,15.40,31.65
