stick,section,original_length,target_length,partial_length,deviation,loss,lsl,usl
1,1,124,41.333333333333336,41.0,0.3333333333333357,0.0,-1.0,1.0
1,2,124,41.333333333333336,41.5,-0.1666666666666643,0.0,,
1,3,124,41.333333333333336,41.5,-0.1666666666666643,0.0,,
2,1,123,41.0,41.0,0.0,0.0,,
2,2,123,41.0,41.5,-0.5,0.0,,
2,3,123,41.0,40.5,0.5,0.0,,
3,1,123,41.0,41.0,0.0,0.0,,
3,2,123,41.0,41.0,0.0,0.0,,
3,3,123,41.0,41.0,0.0,0.0,,
4,1,124,41.333333333333336,41.0,0.3333333333333357,0.0,,
4,2,124,41.333333333333336,41.0,0.3333333333333357,0.0,,
4,3,124,41.333333333333336,42.0,-0.6666666666666643,0.0,,
5,1,123,41.0,41.0,0.0,0.0,,
5,2,123,41.0,41.0,0.0,0.0,,
5,3,123,41.0,41.0,0.0,0.0,,
6,1,121,40.333333333333336,40.5,-0.1666666666666643,0.0,,
6,2,121,40.333333333333336,42.5,-2.1666666666666643,0.0,,
6,3,121,40.333333333333336,40.0,0.3333333333333357,0.0,,
7,1,124,41.333333333333336,42.0,-0.6666666666666643,0.0,,
7,2,124,41.333333333333336,40.5,0.8333333333333357,0.0,,
7,3,124,41.333333333333336,41.5,-0.1666666666666643,0.0,,
8,1,124,41.333333333333336,41.0,0.3333333333333357,1.0,,
8,2,124,41.333333333333336,41.5,-0.1666666666666643,1.0,,
8,3,124,41.333333333333336,40.5,0.8333333333333357,1.0,,
9,1,122,40.66666666666666,40.0,0.6666666666666572,0.5,,
9,2,122,40.66666666666666,41.0,-0.3333333333333428,0.5,,
9,3,122,40.66666666666666,40.5,0.1666666666666572,0.5,,
10,1,123,41.0,41.0,0.0,0.0,,
10,2,123,41.0,42.0,-1.0,0.0,,
10,3,123,41.0,40.0,1.0,0.0,,
